No.,Post Survey End Time,1. What was more important for you to do?,"2. Please evaluate the following statements based on your true situation. There is no correct answer to this question, and your response does not affect your eligibility in this study
(1：Very inattentive／2：Inattentive ／3：Somewhat inattentive ／4： Neutral／5： Somewhat attentive ／6： Attentive／7： Very attentive)",,,,1. Do you feel you sometimes misreport your health (even slightly) to doctors?,,"2-1. When answering the dietary behavior using the slider, did you notice anything about how it felt to use it?",2-2. Did the way it worked change how you thought about your answers at all? ,"3. When you think about improving your own health, what motivates you more — the good things you could gain, or the bad things you want to avoid? Can you give an example?",4. Is there anything else you would like to tell us that has not been discussed yet?,uid,condition,Duration,,,Duration,,,,,,,,
10,2026-07-13 17:10:34,6,5,5,5,4,2,I have difficulty accurately describing my symptoms to the doctor.,The slider made it easy to choose a response.,It didn't affect me.,Exercising more and eating less fried food.,No,9570a99a-32ab-4b4f-b053-b5041ebe1545,wEO-woRAM,10.85,,,,,,,,,,,
11,2026-07-13 20:38:07,6,5,6,5,5,1,,No,No,Money.,No,a34b3522-7e3e-47d6-b413-906062c6fd25,woEO-wRAM,7.67,,,,,,,,,,,
12,2026-07-13 16:37:15,3,6,6,6,6,1,,No,No,Avoiding getting sick.,No,b749da37-f29f-490f-af50-8e162b3d1ef6,woEO-woRAM,11.93,,,,,,,,,,,
13,2026-07-21 9:19:45,1,5,6,6,6,1,,,,,,b84e3634-5628-467e-ae24-1ff3fb545f60,wEO-woRAM,12.20,,,,,,,,,,,
14,2026-07-13 17:21:29,1,7,7,7,7,1,,It was novel and increased my concentration.,No,"Improving health (stable blood pressure, greatly reduced acid reflux).",No,df4b9b71-5aaa-4ae9-b14f-4ffc3c9be045,woEO-wRAM,16.75,,,,,,,,,,,
15,2026-07-13 16:10:17,2,6,6,6,5,1,,,,,,42e78704-a76f-4c10-8a78-02458453c882,woEO-wRAM,8.75,,,,,,,,,,,
16,2026-07-17 15:31:00,7,7,7,7,7,1,,No,Somewhat.,Avoiding negative outcomes — I've been regularly monitoring a certain condition lately and hope to improve my health to prevent it from getting worse.,No,beea893f-0a12-4129-b310-20c1ad6e5272,wEO-wRAM,16.88,,,,,,,,,,,
17,2026-07-13 16:16:14,5,5,4,3,5,1,,No,No,Improving health.,No,852fbd20-95af-44e2-9ab6-6fb4309603f4,woEO-wRAM,7.90,,,,,,,,,,,
18,2026-07-13 20:35:38,1,4,4,4,4,2,Afraid,No,No,Controlling body weight.,No,f31b4a79-5152-4f33-8547-04211f70241d,woEO-woRAM,7.58,,,,,,,,,,,
19,2026-07-14 10:45:11,5,5,5,5,5,1,,"I had to click twice, which was a bit inconvenient.",No,Having a prize makes me willing to buy ingredients and cook for myself.,No,b185fdc7-023f-4099-b416-b8d527dea5d0,woEO-wRAM,9.50,,,,,,,,,,,
20,2026-07-14 7:56:13,4,5,6,6,6,2,It is difficult to describe my condition in detail.,No,No.,Avoiding negative outcomes.,No,4e4b8832-61a9-47b7-bddc-8c90bb1ccf8f,wEO-wRAM,8.05,,,,,,,,,,,
21,2026-07-16 23:38:56,4,6,7,7,6,1,,It was difficult to slide.,Yes.,"Healthy diet and exercise, boosting immunity and reducing the chance of getting sick.",No,cc7ebcf6-9a1c-4904-b327-225999ded035,woEO-woRAM,33.97,,,,,,,,,,,
22,2026-07-22 16:11:25,5,6,6,6,6,1,,No,No,Getting positive results like being able to lose more weight.,No,d27dad33-96f5-48f0-9955-8370a75b783e,woEO-woRAM,9.65,,,,,,,,,,,
23,2026-07-14 17:15:07,3,7,7,7,7,1,,It went very smoothly.,No.,"Gaining positive outcomes gets at the root cause — for example, adjusting diet and routine fundamentally solves health issues, rather than taking medicine (which only treats symptoms).",No,c657895a-3d83-423d-9133-0a46e45721c3,wEO-woRAM,15.43,,,,,,,,,,,
24,2026-07-13 20:23:24,6,3,5,5,5,1,,,,,,439a3a3e-0f24-41e1-bbbb-c77b6da505f5,woEO-wRAM,18.25,,,,,,,,,,,
25,2026-07-21 16:51:16,2,6,5,6,6,1,,"I did not understand what some of the questions were asking.
",No.,Wanting to improve my health.,No,f307a7de-3e4e-4f00-9b58-b6dad9349920,wEO-wRAM,9.33,,,,,,,,,,,
26,2026-07-17 17:43:49,7,6,6,6,5,1,,I did not notice anything particular.,No,Gaining vitality.,Probably nothing.,f6ccd6b6-3455-4f89-a11a-42fce3a57f2b,woEO-wRAM,10.62,,,,,,,,,,,
27,2026-07-13 16:41:22,4,5,5,6,6,1,,I did not have any particular feelings.,No.,Improving health.,No,4f3a093f-126a-4490-8575-06ab9ea5eda9,woEO-wRAM,38.95,,,,,,,,,,,
28,2026-07-22 20:21:08,7,6,6,6,6,1,,"It was very convenient to use.
",No.,Gaining vitality and living better.,None at the moment.,67710bfe-3b6b-4893-9b40-6d58b4dd96a1,wEO-woRAM,16.52,,,,,,,,,,,
29,2026-07-13 16:39:21,5,7,7,7,7,2,I may feel that it is too personal to disclose.,"I converted the slider into numbers by counting how many steps there were in total, and then selected the corresponding step based on the score I had in mind. Otherwise, it was a bit difficult to choose the level using only the slider.","A little bit — I'm more used to numeric answering, so I still operated the slider in a numeric way.",Losing a lot of weight and having a better body shape.,No,d535b220-d742-437e-9d45-a148afecd05e,wEO-wRAM,26.67,,,,,,,,,,,
30,2026-07-14 0:22:08,3,7,7,7,7,1,,"It gave me a greater sense of control.
","Yes, it affected me.",Making myself more energetic and in a better state.,Nothing for now.,8763c3a6-4f82-447f-8bf3-86fa6cacd93c,wEO-wRAM,11.65,,,,,,,,,,,
31,2026-07-14 16:04:49,3,6,6,6,6,1,,,,,,7cfd4c6b-3a9b-4bb1-8f89-b0b3e0c751e1,wEO-woRAM,11.95,,,,,,,,,,,
32,2026-07-13 16:31:48,3,6,6,6,6,1,,No,It didn't affect me.,"When I see people around me get sick, I want to improve.",No.,6ba808c8-d525-4f0b-9303-a53f77da2729,wEO-woRAM,25.22,,,,,,,,,,,
33,2026-07-13 16:08:40,3,6,6,6,6,1,,The score was less intuitive.,It required an extra confirmation step.,Having a plan for continuous improvement.,,bc682dcd-2a79-4a9b-98c9-d05e4bf88b76,woEO-wRAM,7.47,,,,,,,,,,,
34,2026-07-21 23:05:53,7,3,4,4,4,1,,No,No,No,No,6c836caa-46b7-4f54-b05e-8eea0597cc97,woEO-wRAM,10.45,,,,,,,,,,,
35,2026-07-22 7:58:41,3,4,4,4,4,1,,It was okay.,No.,Seeing the red marks on the check-up report turn blue.,No,7296735a-07f8-4fbd-99c7-4db311777eed,wEO-wRAM,951.70,,,,,,,,,,,
36,2026-07-13 16:30:43,5,7,7,7,7,2,I am afraid of being scolded by the doctor.,I would consider the degree to which I agree or disagree.,"If the original click options were numerous enough, the result would be similar to the slider.","Improving how I appear to others — for example, looking healthy also looks less haggard and old.",No,8c21792b-0df3-4842-aebb-d6e89dbdaeda,woEO-woRAM,16.12,,,,,,,,,,,
37,2026-07-13 18:17:08,4,5,5,5,5,1,,,,,,9d3fc2f4-96de-4875-af7f-6902dc6608dc,wEO-wRAM,18.43,,,,,,,,,,,
38,2026-07-21 16:38:23,2,6,6,6,6,1,,I thought carefully before making my selection.,It probably had no effect.,Gaining positive outcomes — such as noticeably improving discomfort.,None for now.,dd792365-b2c1-4a6e-8a2d-c9a9cd0e531d,wEO-wRAM,30.23,,,,,,,,,,,
39,2026-07-17 17:09:47,4,5,5,5,5,1,,Yes,No,Improving health.,No,3fced159-18f7-455b-bb1d-c17beb39bbdb,wEO-wRAM,7.98,,,,,,,,,,,
40,2026-07-13 16:43:44,5,6,6,6,6,1,,No,No,Avoiding negative outcomes.,No,38100bb0-5c10-464f-bf17-42be83ced56f,wEO-woRAM,8.33,,,,,,,,,,,
41,2026-07-13 21:56:21,1,6,7,6,6,2,I may emphasize my pain because I feel the doctor might not take it seriously.,No,"No, it didn't.",Increasing my flexibility of movement and participation in outdoor activities.,No,d7627bbd-e2ce-4eaa-bf6f-167169473cd6,woEO-woRAM,14.45,,,,,,,,,,,
42,2026-07-13 22:29:44,6,3,7,5,5,2,My parents accompanied me to the appointment; or I forgot to mention some of my symptoms during the appointment.,"My internet connection was slow, so the slider was a bit delayed.",Yes.,"Positive outcomes, especially those that strengthen the brain, give me more motivation to move forward.",No,aa4a6998-8647-4a2c-848c-d28a8db0f077,wEO-wRAM,17.70,,,,,,,,,,,
43,2026-07-14 19:57:17,4,5,4,3,5,1,,,,,,83a446bc-ab88-4d23-a224-ef0b98729863,wEO-wRAM,8.63,,,,,,,,,,,
44,2026-07-14 16:05:53,3,6,6,6,4,1,,,,,,e660a5e1-7c74-4acc-a56f-102af2307dab,woEO-woRAM,15.73,,,,,,,,,,,
45,2026-07-13 16:09:56,7,7,7,7,7,1,,It was easy to use.,No,Gaining more professional knowledge.,No,ca8323e1-6803-45e6-887d-77f2c6b7ab7f,wEO-wRAM,7.13,,,,,,,,,,,
46,2026-07-14 0:35:15,5,7,7,7,7,1,,I spent more time thinking about the degree of my response.,"Yes, it did.",Being a more beautiful version of myself.,None at the moment.,c7d68c3e-48af-4fc2-bdd7-964df400b751,woEO-wRAM,7.63,,,,,,,,,,,
47,2026-07-13 19:29:36,6,6,6,6,6,1,,No,No,No,No,6ee1662f-acff-4b0f-992e-9d372adfa9d7,woEO-wRAM,15.77,,,,,,,,,,,
48,2026-07-13 16:21:19,1,7,7,7,7,1,,No,No.,Improving health.,No,002267ef-1893-4bb5-8b7b-cc0e6512c0d0,wEO-wRAM,9.77,,,,,,,,,,,
49,2026-07-22 10:43:59,6,6,6,6,6,1,,The slider felt a little rigid.,It was okay.,Paying attention to daily diet and exercise.,Amount of exercise and physical activity.,b8dd3642-3303-407b-9242-3cbecbe3d68a,wEO-woRAM,18.45,,,,,,,,,,,
50,2026-07-13 16:43:07,3,7,7,7,7,1,,I needed to think a little about what each direction of the slider represented.,"Yes, same as above.","Probably avoiding negative outcomes — last year my weight hit an all-time high and I was severely overweight. I saw a doctor and dietitian to discuss healthy eating, and over a year I got my BMI back to normal by working hard on diet and exercise because I was overweight.",No,be1c6d36-6c5d-4628-a9dd-d92485d1aa39,wEO-woRAM,40.90,,,,,,,,,,,
51,2026-07-13 18:49:57,1,7,6,7,6,1,,No,No,No,No,69db3def-2993-445e-9678-342d65184f7f,wEO-wRAM,146.90,,,,,,,,,,,
52,2026-07-14 0:07:43,4,2,5,5,5,1,,No,No,Improving health.,No,72409dcd-98fd-443f-b4f1-5683a65c5c7c,woEO-woRAM,7.08,,,,,,,,,,,
53,2026-07-14 10:00:25,3,7,7,7,7,1,,"Numbers should be displayed on the slider because sometimes when selecting values like 3 or 4, I was not sure whether I had adjusted the slider accurately.
","Yes, it did.",No,No,66cff91e-69d9-419f-ae64-897842f6d9d0,woEO-woRAM,8.60,,,,,,,,,,,
54,2026-07-13 19:37:44,5,6,5,5,6,1,,,,,,0b99d191-a2c7-4779-8c95-b8ee79d82529,wEO-wRAM,8.05,,,,,,,,,,,
55,2026-07-22 21:59:29,4,7,7,7,7,1,,"The visualization could be improved, but this way of answering was good.",No,"Mostly positive outcomes, and trying to avoid negative ones — drinking a bit more healthily, not drinking bubble tea, etc.",No,0b647bef-53ec-4260-881a-affa554205e1,woEO-wRAM,15.47,,,,,,,,,,,
56,2026-07-14 8:19:28,1,6,6,6,6,1,,No,Hard to notice.,Wanting to improve my body.,The spiritual/mental dimension.,39f96368-50ca-4c89-ad32-ce26f2376630,wEO-wRAM,8.22,,,,,,,,,,,
57,2026-07-16 0:05:44,3,6,6,6,6,2,Portray my health as better than it actually is.,I could not directly understand the feeling through numbers.,No,Positive outcomes like being able to improve physical condition are more motivating.,No,b3245bbd-22f6-40db-a1b7-c476e685a8d3,woEO-woRAM,11.88,,,,,,,,,,,
58,2026-07-13 21:07:17,4,4,4,4,4,1,,No,No,Improving health and gaining vitality.,No,562ac382-7251-4ea9-8a62-ccf7bb3f2624,woEO-woRAM,6.97,,,,,,,,,,,
59,2026-07-17 10:18:44,1,6,6,6,6,1,,No,No,Avoiding illness — I only pay attention when something goes wrong.,No,6197a6ca-d916-4d14-a946-46eacb7a4d98,wEO-wRAM,11.25,,,,,,,,,,,
60,2026-07-13 17:44:12,4,7,7,7,7,1,,"No, everything went smoothly.",No,"Reducing my chances of getting sick, improving my body shape, and being more likable.",No,87199c94-1275-4d66-b8ce-1bc27d125b97,wEO-wRAM,8.42,,,,,,,,,,,
61,2026-07-13 16:50:20,5,6,6,6,6,1,,No,It didn't have any effect.,No,No,93fbdad3-a143-41b1-a4f3-1c9bf2486879,woEO-wRAM,8.47,,,,,,,,,,,
62,2026-07-14 13:51:19,1,5,6,6,5,1,,Yes,Yes.,No,No,6a8791c4-bdec-4c63-a655-42a24e15a599,woEO-woRAM,11.38,,,,,,,,,,,
63,2026-07-13 17:28:35,4,6,6,6,6,2,Sometimes I have difficulty clearly explaining my actual condition.,I checked how many positions the slider had.,Being less direct had some effect.,"Avoiding negative outcomes — if you don't eat certain things, certain things won't happen.",No,3c8ac542-3850-4225-9a58-60b11cbd88c3,woEO-woRAM,9.57,,,,,,,,,,,
64,2026-07-13 16:52:42,7,6,6,6,6,1,,No,No,Improving health.,No,9d0867ac-a8a9-4b25-aa5e-88ed7e0a9218,woEO-wRAM,8.97,,,,,,,,,,,
65,2026-07-22 12:03:36,7,7,7,7,7,1,,Very good,No.,Being able to move freely in daily life.,No,9a0a1e5d-3d8f-49e5-825b-a50eebab9d09,wEO-wRAM,16.25,,,,,,,,,,,
66,2026-07-13 16:20:04,6,5,5,5,5,2,I am not sure I can describe my condition effectively.,No,No,Improving health.,No,b1f10dfb-7a3a-4461-a914-14d6c375256d,woEO-wRAM,11.80,,,,,,,,,,,
67,2026-07-13 20:57:48,5,5,6,4,5,2,It is difficult to achieve all of them.,No,I hesitated a bit.,Life goes on as usual.,No,df86c443-d2e7-486c-a94e-b719f177677f,wEO-woRAM,7.78,,,,,,,,,,,
68,2026-07-17 1:16:51,2,7,7,7,7,1,,No,No,Boosting vitality.,No,377ee147-a2db-48aa-909c-29b587375fc3,woEO-wRAM,10.97,,,,,,,,,,,
69,2026-07-21 16:19:13,5,6,7,6,6,2,The details that come to mind at the moment.,"Without numerical labels, it was more difficult to express my response accurately.",No,Gaining vitality.,No,2afe0794-98e0-42fe-8db0-6e819bb63f07,woEO-woRAM,11.58,,,,,,,,,,,
70,2026-07-13 16:42:00,7,4,4,4,4,1,,No,No,Gaining vitality.,No,4c3bf101-0518-48ea-bb9c-e1ea4e5d74af,wEO-wRAM,6.72,,,,,,,,,,,
71,2026-07-14 10:49:18,7,5,5,5,5,1,,,,,,94176d4b-7de7-4e3a-9cb4-5b5e12a822aa,wEO-wRAM,23.72,,,,,,,,,,,
72,2026-07-13 19:11:17,1,6,6,6,6,1,,No,Yes.,Improving stamina and strengthening health.,No,3a3a8e0e-f3d4-404a-a04c-9835d2a6eb4c,woEO-wRAM,7.57,,,,,,,,,,,
73,2026-07-22 18:21:42,1,7,7,7,7,1,,"Using the slider felt no different from selecting a checkbox.
",No.,Improving health means preventing illness — it's especially important.,No,3b46d533-73b4-4c92-ae86-ec87ceb5fac5,woEO-wRAM,26.50,,,,,,,,,,,
74,2026-07-13 18:20:28,3,6,6,6,6,2,I am afraid of being blamed.,It was okay.,No.,Improving physical constitution and appearance.,Probably nothing.,51ee9ec4-cb51-44f9-8d61-08d99f1ccf9b,woEO-woRAM,13.25,,,,,,,,,,,
75,2026-07-13 16:36:16,1,6,6,6,6,1,,No,No,Providing a reward mechanism.,No,a8ce1cd9-6356-4eb6-806d-5a395806d45d,woEO-woRAM,7.92,,,,,,,,,,,
76,2026-07-13 16:38:50,4,7,7,7,7,1,,It was very unique.,No.,Gaining vitality.,No,5fc5816e-1ee5-4e4d-9683-dd02202f9a8a,wEO-wRAM,7.75,,,,,,,,,,,
77,2026-07-14 12:18:40,1,6,6,6,6,1,,"It was not smooth.
",No.,Worsening health.,No,ba2512cb-7a02-4ad4-8b35-107383138e47,woEO-wRAM,9.63,,,,,,,,,,,
78,2026-07-13 20:50:25,5,4,4,4,4,1,,it's okay,Still okay.,Still okay.,It was okay.,788596f8-b6de-4fab-a073-b7c124b6b8e2,wEO-wRAM,8.17,,,,,,,,,,,
79,2026-07-16 19:33:56,5,5,4,4,3,1,,yes,Yes.,Being able to receive extra incentives.,No,e5d8f569-24d2-407a-972b-f66eeb36032e,wEO-wRAM,7.60,,,,,,,,,,,
80,2026-07-13 16:54:20,5,6,7,6,6,1,,No,No,When trying to avoid a decline in health.,No,54a0865e-962b-4505-98f0-8128e0ee4e96,wEO-wRAM,17.02,,,,,,,,,,,
81,2026-07-13 16:48:42,7,5,4,4,4,2,I openly tell the doctor whenever I feel uncomfortable.,No,No,"I just want someone to encourage me to exercise, for my allergic cough.",No,cf7be0a5-ed06-4e64-bfc4-d3619bce83f7,woEO-wRAM,11.15,,,,,,,,,,,
82,2026-07-13 16:35:44,3,7,7,7,7,1,,No,No,Worsening health.,No,1701613a-42a3-469c-abce-86de3f146efb,wEO-woRAM,7.65,,,,,,,,,,,
83,2026-07-14 1:36:24,7,5,5,5,5,1,,I observed how to operate it in order to proceed to the next step.,No.,Reminding myself to eat healthily.,No,6c182c99-2176-4aaa-beb5-497079790720,wEO-woRAM,15.45,,,,,,,,,,,
84,2026-07-22 12:46:53,3,6,6,6,6,1,,I checked whether I had completed the operation.,A little.,Improving health and gaining vitality.,No,78244ec6-04bf-4bba-b486-79a512f4af34,wEO-woRAM,11.68,,,,,,,,,,,
85,2026-07-19 21:11:05,7,7,7,7,7,1,,,,,,3605da92-3fbd-4465-98a6-dfe22546c8c3,wEO-woRAM,89.95,,,,,,,,,,,
86,2026-07-13 23:58:56,6,7,7,7,7,1,,I did not quite understand why it was designed as a continuous scale rather than a discrete scale like a Likert scale.,Yes.,Gaining positive outcomes.,No,879a254e-0a75-4019-b210-a7ccf11353f2,wEO-woRAM,12.60,,,,,,,,,,,
87,2026-07-13 16:12:12,3,7,7,7,7,2,I feel a sense of guilt.,Yes,Yes.,Avoiding negative outcomes.,No,8d2cc892-bbfc-4633-ba20-4c7bf74359d9,woEO-wRAM,8.62,,,,,,,,,,,
88,2026-07-13 16:13:56,7,6,6,6,6,1,,,,,,afbef109-128c-45f6-837e-7e1b5c1e6453,wEO-wRAM,7.70,,,,,,,,,,,
89,2026-07-13 17:18:38,4,6,7,6,5,1,,I just estimated a range based on my feeling.,No — it was easy to use.,Being able to lose weight has the biggest impact.,Probably nothing.,3bd3b45d-37d0-4707-ae96-0359b2c12a0e,woEO-woRAM,17.70,,,,,,,,,,,
90,2026-07-13 16:48:44,5,6,7,6,6,1,,One step one day.,No,Improving health.,"No, thank you.",b611ed52-cb0e-46a8-8d4b-a93cb7f39379,wEO-wRAM,9.08,,,,,,,,,,,
91,2026-07-21 17:05:56,6,6,7,7,7,1,,I felt uncomfortable using the mouse to drag the slider continuously.,No.,Being able to travel and play everywhere.,,87ff1927-eacf-4e56-90f6-e6cef38f3d72,wEO-woRAM,39.35,,,,,,,,,,,
92,2026-07-13 16:12:31,4,6,6,6,6,1,,No,No,Reducing the number of uncomfortable days.,No,93a63c81-9b1f-4119-8500-653d41ea499c,wEO-woRAM,7.53,,,,,,,,,,,
93,2026-07-17 15:35:33,5,5,5,5,5,1,,Yes,Yes.,Gaining vitality.,No,3652b5d1-9084-44bc-ab21-72fa3734dc71,woEO-wRAM,15.80,,,,,,,,,,,
94,2026-07-22 10:55:50,5,6,6,6,6,1,,Special,No,Positive.,No,9decd149-ad28-453e-8a99-97b4e10e2acd,wEO-woRAM,19.52,,,,,,,,,,,
95,2026-07-22 23:44:42,7,7,6,6,6,1,,NO,No.,Exercise.,,e312f481-fa5b-45e2-8a52-3836d154359f,wEO-woRAM,7.80,,,,,,,,,,,
96,2026-07-21 18:30:38,5,5,6,4,5,2,I am afraid of being criticized.,It was not very easy to operate.,It was okay.,Avoiding negative outcomes — the stimulus is stronger.,No,bf3b02cd-e13e-4416-a411-b5986e4f7d54,wEO-woRAM,20.02,,,,,,,,,,,
97,2026-07-15 22:18:35,1,4,5,5,5,1,,No,No,Making myself more agile.,No,a95945bd-4fef-445e-8b40-763e4fb3499f,woEO-woRAM,16.37,,,,,,,,,,,
98,2026-07-13 20:14:35,4,7,7,7,7,2,"I forgot or did not notice it at the time, but remembered it afterward.",It felt similar to using a percentage scale.,"A little, but the slider was laggy, so it wasn't very noticeable.","You only think about health when you're sick — the more you can't have it, the more you want it.",Can't think of any at the moment.,227bdf01-3ac8-429b-a035-11daaec03a24,wEO-wRAM,17.38,,,,,,,,,,,
99,2026-07-16 18:42:06,1,5,5,5,5,1,,No,No,No,No,bbdde3ab-4b1b-411d-92bb-bdfedecd149f,wEO-woRAM,11.47,,,,,,,,,,,
100,2026-07-21 16:29:25,6,4,4,4,4,,,,,,,b99c5b0f-1f41-43dc-86f2-ffbf8e3292fa,wEO-woRAM,8.98,,,,,,,,,,,
101,2026-07-15 9:42:03,1,6,6,6,6,1,,No,,Hoping to lose a bit more weight to be healthier.,No,9280e3dd-549a-4f09-b694-0abc98cc7a0b,woEO-woRAM,9.55,,,,,,,,,,,
102,2026-07-13 16:40:11,5,6,6,5,5,1,,有,No,"Positive — for health, less doctor visits, and even in old age I can still move freely.",No,47ed21ae-e004-4be0-96c7-bfe38be29ab2,wEO-wRAM,16.88,,,,,,,,,,,
103,2026-07-19 9:26:46,4,5,5,5,5,1,,,,,,0161bfc5-664b-4af1-a8e1-fc8d7e7b29f9,wEO-wRAM,11.13,,,,,,,,,,,
104,2026-07-13 18:52:20,2,6,6,6,6,2,Differences in past experiences,It gave me a greater sense of control.,Yes.,Becoming a better version of myself.,Nothing for now.,fab0f216-0ef0-4d17-917a-728ce15d5439,woEO-wRAM,7.72,,,,,,,,,,,
105,2026-07-22 23:23:59,7,6,7,7,7,1,,No,NO,Obesity.,,0c727ff4-8f48-4e76-90ec-5cb0efa1c54c,woEO-woRAM,13.75,,,,,,,,,,,
106,2026-07-21 23:09:52,6,7,7,7,7,1,,The lack of intermediate numbers made me question whether I had selected an accurate response.,No,Gaining positive outcomes — what foods to eat more of and what exercises to do.,No,a51c08d8-1f42-4a0e-b53c-31f9a7194d63,woEO-woRAM,189.78,,,,,,,,,,,
107,2026-07-16 16:32:47,1,6,6,6,6,1,,Simple,No.,Improving health.,No,e87e661e-0446-426d-8516-1ccfa588138a,woEO-woRAM,14.87,,,,,,,,,,,
108,2026-07-16 17:12:28,3,6,7,6,6,1,,"No, there were no issues with answering in the same manner.",No.,Positive outcomes motivate me more — they mean my effort gets real feedback and isn't wasted.,No,2439961d-75f5-4f81-acfc-6dbda7609e48,woEO-wRAM,38.25,,,,,,,,,,,
109,2026-07-13 17:03:51,5,6,7,6,6,1,,It was a bit laggy.,It was okay.,,No,3d9c20f5-bbdc-440b-be75-aecb34e7fd5e,wEO-wRAM,7.12,,,,,,,,,,,
110,2026-07-13 16:20:34,7,5,5,5,5,1,,Yes,Yes.,Avoiding negative outcomes — I don't want my health to decline.,Menopause.,61cebafe-2dab-490c-b151-84ba39b45a9e,woEO-woRAM,11.07,,,,,,,,,,,
111,2026-07-21 21:54:02,6,5,5,6,5,1,,No,No,No,No,845838d6-112e-4dbd-82fb-f58fe878e952,wEO-wRAM,8.63,,,,,,,,,,,
112,2026-07-14 8:12:51,6,6,6,6,6,1,,Yes,Yes.,No,No,f13ac1fe-f7cf-4b36-9371-5b3af21482e4,wEO-woRAM,10.60,,,,,,,,,,,
113,2026-07-15 13:37:29,5,6,6,6,5,1,,"If there were score ranges displayed, it might make the selection clearer.
","Yes, it did.",Gaining positive outcomes: everyone prefers knowing how to prevent illness.,"The illness options could cover more — for example, eye conditions and high cholesterol are common modern diseases.",31e2e1cf-a04e-47bd-9b9a-fabdd71e738e,wEO-wRAM,18.70,,,,,,,,,,,
114,2026-07-22 16:11:37,3,6,7,7,7,1,,"Because the slider only showed the two extremes, the states in between felt somewhat unclear.",It increased my hesitation and thinking time.,"Gaining positive outcomes — I hope to become healthier, pursue healthy aging, and don't want bad habits to negatively affect my body.",,38e56dc8-9422-4c57-a34d-5eef3604e8e5,woEO-woRAM,13.85,,,,,,,,,,,
115,2026-07-13 16:16:39,3,7,7,7,7,1,,No,No.,Avoiding negative outcomes — not having bad results fits my habits better.,No,313b01c2-8cc5-4991-a70c-5cc5e3e66b50,wEO-wRAM,9.68,,,,,,,,,,,
116,2026-07-19 11:04:44,2,5,6,6,6,1,,,,,,47e28a9c-7e82-4558-80c8-5dacbcc4c100,woEO-woRAM,25.37,,,,,,,,,,,
117,2026-07-13 16:16:46,5,6,6,6,6,1,,It's okay,No.,Reducing the risk of getting sick in the future.,Nothing in particular.,bda08d58-6036-4072-a349-69d8bbec3e6e,woEO-wRAM,10.67,,,,,,,,,,,
